id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,58989.0,1164509495853,1,1238701837329,19860070187,59827.0,57918.0,-574.5160293282606,-0.96455,-11681381638.948975,-0.99315,19742200.0,21000000.0,21000000.0,73738.0,-19.93283,2024-03-14T07:10:36.635Z,67.81,86967.90844,2013-07-06T00:00:00.000Z,,2024-08-19T19:08:01.184Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2605.3,313309356154,2,313309356154,10476471945,2670.65,2568.01,-54.6169857523455,-2.05334,-6836669788.213135,-2.13548,120286511.615787,120286511.615787,,4878.26,-46.52946,2021-11-10T14:24:19.604Z,0.432979,602338.69586,2015-10-20T00:00:00.000Z,"{'times': 58.03400418619622, 'currency': 'btc', 'percentage': 5803.400418619622}",2024-08-19T19:08:00.811Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,116906954351,3,116906954351,29431947361,1.003,0.997735,0.00012697,0.0127,24775907.0,0.0212,116886835208.029,116886835208.029,,1.32,-24.42178,2018-07-24T00:00:00.000Z,0.572521,74.66118,2015-03-02T00:00:00.000Z,,2024-08-19T19:08:01.378Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,550.84,80337963705,4,80337963705,767821524,556.05,529.35,13.69,2.54773,1960775920.0,2.50172,145887575.79,145887575.79,200000000.0,717.48,-23.25262,2024-06-06T14:10:59.816Z,0.0398177,1382811.4574,2017-10-19T00:00:00.000Z,,2024-08-19T19:07:54.710Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,143.41,66844251926,5,83508634780,2731376214,146.93,140.59,-2.2425531596055066,-1.53967,-1083761206.6867218,-1.59546,466316918.473385,582570499.552671,,259.96,-44.75432,2021-11-06T21:54:35.825Z,0.500801,28577.29653,2020-05-11T19:35:23.449Z,,2024-08-19T19:07:45.714Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,34967412154,6,34950290644,6100376706,1.003,0.997032,0.00032191,0.0322,159634492.0,0.45862,34985684946.7304,34968554489.5279,,1.17,-14.73196,2019-05-08T00:40:28.300Z,0.877647,13.93465,2023-03-11T08:02:13.981Z,,2024-08-19T19:08:01.008Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.606579,33932471521,7,60463934088,1605376912,0.604806,0.560646,0.03489382,6.10368,1858493908.0,5.7944,56113081096.0,99987342059.0,100000000000.0,3.4,-82.25673,2018-01-07T00:00:00.000Z,0.00268621,22347.86594,2014-05-22T00:00:00.000Z,,2024-08-19T19:07:56.888Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2605.21,25600311701,8,25600311701,29316880,2668.86,2566.81,-54.75678394163697,-2.05855,-523959092.8365822,-2.00564,9818769.77621975,9818769.77621975,,4829.57,-46.00025,2021-11-10T14:40:47.256Z,482.9,440.06555,2020-12-22T04:08:21.854Z,,2024-08-19T19:07:51.108Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/ton_symbol.png?1696517498,6.79,17118679205,9,34685303192,636966265,7.07,6.69,0.095275,1.4231,241992956.0,1.43389,2522354404.73142,5110711301.80134,,8.25,-17.6165,2024-06-15T00:36:51.509Z,0.519364,1209.21912,2021-09-21T00:33:11.092Z,,2024-08-19T19:07:41.275Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.10078,14664088824,10,14666962756,507292680,0.102684,0.09873,-0.001545961159368004,-1.51082,-236774826.06788445,-1.589,145572836383.705,145601366383.705,,0.731578,-86.22195,2021-05-08T05:08:23.458Z,8.69e-05,115887.19599,2015-05-06T00:00:00.000Z,,2024-08-19T19:07:41.288Z
